"","satis","satis2010","best","recom","product","equipment","sales","technical","training","purchase","pricing"
"1","1","1","0","1","1","1","1","1","2","2","1"
"2","3","3","0","4","4","4","3","3","3","3","3"
"3","4","1","0","3","2","4","3","4","4","4","3"
"4","3","3","0","4","4","3","4","2","3","4","2"
"5","5","3","0","4","4","4","5","4","3","4","3"
"6","4","3","1","4","4","4","4","5","3","5","4"
"7","4","3","0","4","3","4","3","4","4","5","3"
"8","3","4","0","4","4","3","4","3","3","4","3"
"9","3","3","0","2","2","3","3","4","3","4","2"
"10","4","3","0","4","3","1","4","3","4","4","2"
"11","2","3","1","3","3","3","3","1","3","3","2"
"12","3","3","0","3","4","3","3","3","3","3","3"
"13","1","1","0","2","2","3","1","2","3","3","2"
"14","3","3","0","4","4","3","5","4","4","3","2"
"15","4","4","1","5","5","4","5","4","4","4","5"
"16","4","3","0","4","4","5","4","5","3","4","4"
"17","3","3","0","3","3","2","3","2","2","4","2"
"18","4","4","1","4","5","4","4","5","4","4","3"
"19","4","3","0","4","4","4","4","1","4","4","1"
"20","1","1","0","2","3","4","1","2","3","2","3"
"21","2","3","0","2","1","2","2","2","2","1","2"
"22","4","3","0","4","4","4","4","4","4","4","4"
"23","4","4","0","4","4","3","1","2","3","2","2"
"24","4","3","0","3","4","3","3","2","3","3","3"
"25","3","4","0","4","5","4","3","4","4","4","3"
"26","3","3","0","2","1","3","4","4","4","3","1"
"27","4","3","1","5","2","4","2","4","4","3","3"
"28","4","3","0","4","5","4","5","5","4","5","3"
"29","2","3","0","2","1","2","2","2","2","3","3"
"30","4","3","0","4","3","5","4","5","4","5","3"
"31","2","2","0","3","5","4","5","3","3","3","3"
"32","3","4","0","3","4","4","3","4","3","3","3"
"33","1","1","0","2","2","2","2","1","3","2","2"
"34","3","3","0","3","2","4","3","4","3","3","3"
"35","4","3","0","4","4","4","2","3","4","3","3"
"36","4","3","0","4","4","4","2","3","3","3","3"
"37","4","4","0","5","4","4","4","3","3","4","3"
"38","3","3","0","3","4","4","3","3","3","5","3"
"39","4","3","1","4","4","4","4","4","4","4","2"
"40","4","1","0","2","2","2","1","4","4","3","2"
