"GayMarriage","SexualFreedom","GayAdoption","GenderQuotas","AffirmativeAction","LegalizedMarijuana","Country","LibCons","LeftRight","Gender","Age"
"0","0","2","1","0","2","India",4,8,"Male",25
"0","0","0","0","0","0","India",4,5,"Male",43
"0","0","0","1","0","0","India",1,6,"Male",27
"0","1","1","0","0","1","India",4,4,"Female",33
"2","1","2","1","2","2","India",2,4,"Male",46
"0","1","0","0","1","0","India",5,6,"Female",34
"0","0","0","2","2","2","India",3,8,"Female",39
"0","1","0","0","0","2","India",3,6,"Male",36
"0","1","0","0","2","0","India",5,6,"Male",33
"0","0","0","1","0","0","India",2,5,"Male",22
"1","1","1","1","0","0","India",1,10,"Female",23
"2","2","2","1","1","2","India",5,7,"Male",24
"0","2","2","0","1","0","India",4,6,"Female",32
"0","0","0","0","1","0","India",2,1,"Male",22
"0","1","0","2","2","2","India",3,7,"Female",25
"0","0","0","1","1","2","India",6,9,"Male",23
"0","0","0","0","1","1","India",4,7,"Male",22
"1","0","0","2","2","2","India",2,9,"Female",24
"0","1","0","1","1","1","India",1,10,"Female",28
"2","1","2","1","1","2","India",2,9,"Male",23
"0","0","2","1","1","0","India",4,8,"Female",24
"2","0","1","1","1","1","India",4,7,"Male",33
"0","0","0","0","0","2","India",4,7,"Female",36
"0","0","0","1","1","2","India",7,10,"Male",23
"2","1","1","1","1","2","India",3,2,"Male",32
"1","1","1","0","1","1","India",4,6,"Male",22
"0","1","0","1","1","0","India",4,5,"Male",22
"0","2","2","1","1","1","India",4,6,"Male",24
"0","0","0","2","1","0","India",4,5,"Male",39
"0","2","0","2","1","0","India",4,7,"Male",23
"2","0","2","0","1","2","India",4,5,"Female",26
"0","1","0","1","1","0","India",6,3,"Male",21
"0","0","0","1","1","2","India",2,9,"Female",24
"0","0","0","2","1","2","India",2,1,"Male",22
"0","1","0","1","2","2","India",7,8,"Male",34
"0","1","0","0","0","0","India",4,6,"Female",25
"0","1","0","0","0","0","India",3,7,"Male",31
"2","2","0","0","0","2","India",4,7,"Male",42
"0","1","0","1","0","2","India",4,7,"Male",36
"0","0","1","2","2","1","India",5,7,"Male",32
"1","1","1","2","1","2","India",2,3,"Female",51
"1","0","2","2","1","2","India",4,6,"Female",46
"1","1","1","0","0","0","India",3,6,"Male",51
"0","1","0","0","1","0","India",2,1,"Male",28
"2","2","0","1","1","2","India",3,8,"Female",48
"2","1","0","2","1","1","India",5,8,"Male",24
"0","1","0","1","0","0","India",4,5,"Male",22
"0","2","0","0","1","2","India",4,5,"Male",49
"1","1","2","2","1","0","India",4,8,"Male",31
"0","1","0","1","1","0","India",4,7,"Male",27
"1","0","0","0","1","1","India",4,7,"Female",46
"2","2","1","2","1","2","India",3,8,"Male",26
"0","1","0","1","1","0","India",2,7,"Female",27
"1","1","0","0","1","0","India",7,6,"Male",20
"1","1","0","0","0","1","India",3,7,"Male",36
"0","1","0","0","1","2","India",2,8,"Male",25
"0","0","0","1","1","0","India",4,6,"Female",35
"0","0","0","1","1","1","India",2,9,"Female",32
"0","0","0","1","2","1","India",4,6,"Female",39
"0","0","0","1","1","0","India",3,3,"Female",33
"2","2","2","1","1","2","India",2,7,"Male",41
"0","0","0","0","1","0","India",4,6,"Female",36
"0","0","0","1","2","2","India",6,8,"Female",40
"0","1","0","1","0","2","India",5,6,"Male",38
"1","1","1","0","0","1","India",2,2,"Male",25
"0","0","0","1","1","2","India",4,5,"Male",42
"0","1","0","1","0","2","India",8,5,"Female",30
"0","2","0","1","1","1","India",2,8,"Female",34
"0","0","0","0","1","2","India",4,5,"Male",36
"0","1","1","2","1","2","India",5,6,"Male",35
"2","0","2","1","2","2","India",2,7,"Female",25
"0","0","0","0","1","0","India",5,6,"Female",31
"0","0","0","1","0","0","India",2,10,"Male",26
"1","0","1","1","1","1","India",1,9,"Female",49
"0","0","0","0","0","0","India",2,1,"Male",34
"1","0","1","2","2","2","India",4,6,"Female",22
"0","0","0","0","0","0","India",2,1,"Male",42
"0","1","0","0","0","0","India",4,8,"Male",24
"0","0","0","1","1","1","India",7,8,"Male",29
"0","0","2","1","1","2","India",6,5,"Male",28
"0","0","2","2","1","0","India",3,8,"Female",22
"0","0","0","0","1","0","India",6,7,"Male",23
"1","0","2","0","1","2","India",3,6,"Female",29
"2","0","2","0","0","2","India",2,9,"Female",25
"0","1","1","0","1","1","India",4,8,"Male",28
