"gender","IQ","advice","SES","School"
"M",4,"Man","Shop",1
"F",7,"Man","Skil",1
"M",5,"Man","Unsk",1
"M",6,"Man","Shop",1
"F",5,"Man","Skil",1
"M",4,"Man","Prof",1
"F",6,"Gen","Prof",1
"M",2,"Ext","Skil",1
"M",5,"Man","Skil",1
"M",6,"Gen","MidWC",1
"M",5,"Man","Shop",1
"F",4,"Man","Skil",1
"F",4,"Man","Skil",1
"F",4,"Man","Skil",1
"F",4,"Man","Skil",1
"F",6,"Gen","Skil",1
"M",5,"Man","Shop",1
"M",5,"Man","Shop",1
"M",4,"Man","MidWC",1
"M",4,"Man","Shop",1
"F",5,"Man","MidWC",1
"M",5,"Man","Shop",1
"M",5,"Man","Shop",1
"M",3,"Ext","MidWC",1
"M",3,"Man","Skil",1
"F",5,"Man","Skil",1
"F",5,"Man","LoWC",1
"M",5,"Man","Skil",1
"F",7,"Gen","Prof",1
"F",4,"Man","Shop",2
"M",5,"Gen","MidWC",2
"M",5,"Man","Skil",2
"M",6,"Gen","Shop",2
"M",6,"Gen","Skil",2
"M",7,"Grls","MidWC",2
"M",5,"Gen","Shop",2
"M",6,"Grls","Shop",2
"M",6,"Gen","Skil",2
"F",5,"Man","MidWC",2
"M",6,"Gen","MidWC",2
"M",6,"Gen","Shop",2
"F",6,"Gen","Shop",2
"F",8,"Uni","MidWC",2
"F",8,"Uni","Prof",2
"M",6,"Gen","Shop",2
"M",6,"Gen","Shop",2
"F",7,"Uni","Shop",2
"M",7,"Uni","MidWC",2
"F",6,"Gen","LoWC",2
"F",6,"Man","Shop",2
"M",5,"Man","Shop",2
"F",8,"Uni","Prof",2
"M",6,"Man","Shop",2
"M",6,"Gen","MidWC",2
"M",6,"Man","Shop",2
"M",5,"Man","Shop",2
"M",7,"Uni","Shop",2
"F",8,"Uni","Shop",2
"M",6,"Gen","Skil",2
"M",7,"Gen","Shop",2
"M",5,"Man","Shop",2
"M",3,"Gen","MidWC",2
"M",5,"Man","Skil",3
"M",7,"Grls","Shop",3
"F",6,"Gen","Shop",3
"M",7,"Grls","Shop",3
"M",6,"Grls","Shop",3
"M",6,"Man","Shop",3
"M",5,"Man","Shop",3
"M",6,"Gen","Prof",3
"M",4,"Man","MidWC",3
"M",3,"Man","MidWC",3
"M",6,"Gen","Skil",3
"M",4,"Gen","Shop",3
"F",5,"Man","Skil",3
"M",1,"Man","Shop",3
"F",7,"Gen","Skil",3
"F",6,"Gen","Skil",3
"M",5,"Man","Shop",3
"F",7,"Gen","LoWC",3
"F",7,"Uni","Shop",3
"F",7,"Gen","Shop",3
"F",7,"Gen","Shop",3
"F",4,"Gen","MidWC",3
"F",7,"Uni","Skil",3
"M",6,"Gen","Shop",3
"M",5,"Gen","Shop",3
"F",5,"Gen","Prof",3
"F",5,"Man","Shop",3
"F",8,"Uni","Shop",3
"M",4,"Man","Shop",3
"F",4,"Man","Skil",3
"M",7,"Gen","MidWC",3
"F",6,"Gen","LoWC",4
"M",8,"Uni","Shop",4
