"thread","head","indentation","bottom","length","brass"
"N","F","N","S",1,"N"
"N","F","N","S",4,"N"
"N","F","N","S",2,"N"
"N","F","N","F",2,"N"
"N","F","N","S",2,"N"
"N","F","N","S",2,"N"
"N","C","N","S",5,"N"
"N","C","N","S",3,"N"
"N","C","N","S",3,"N"
"Y","O","T","S",5,"N"
"Y","R","L","S",4,"N"
"Y","Y","L","S",4,"N"
"Y","R","L","S",2,"N"
"Y","Y","L","S",2,"N"
"Y","R","L","F",4,"N"
"Y","O","L","F",1,"N"
"Y","Y","L","F",1,"N"
"Y","Y","L","F",1,"N"
"Y","Y","L","F",1,"N"
"Y","Y","L","F",1,"N"
"N","F","N","S",1,"Y"
"N","F","N","S",1,"Y"
"N","F","N","S",1,"Y"
"Y","O","L","S",1,"Y"
