"Party","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"R","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1"
"R","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"R","0","1",NA,NA,NA,NA,"1","0","0",NA,"0",NA,NA,"0","0",NA,NA,NA,NA,NA
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"D","1","1","1","0","1","0","0","1","1","0","1","1","1","1","0","1","0","1","1","1"
"D","1","1","1","1","1","1","0","1","1",NA,"1","1","1","1",NA,"1","1","1","1","0"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"D","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"1","0"
"I","1","1","0","0","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1",NA,"0","0","1","0"
"D","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"R","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1",NA,NA,NA,"1",NA
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"R","0","1","0","0","0","1","1","0","0",NA,"1","1","1","1","0","1","0","0","1","0"
"R","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1"
"D","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1"
"R","0","0","0","0",NA,"0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"D","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","1"
"R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"R","0","1","1","0","1","1","0","0","1","0","1","1","1","1","0","1","0","0","1","0"
"R","0","1","1","0","1","1","0","0","1","0","1","1","1","1","0","1","0","0","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"D","0","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,"1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"R","0","1","1","0","1","1","0","0","0","0","1","1","1","0","0","1","0","0","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"R","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"R","0","1","0","0","0","0","0","0","0",NA,"0","0","0","0","0","1","0","0","0","1"
"R",NA,"1",NA,"0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1"
"D","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1"
"D","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"R",NA,"1","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"R","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1"
"R","0","0","0","0","0","1","0","0","0",NA,"0","1","0","0","0","0","0","0","0","0"
"R","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1"
"R","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1",NA,NA,NA,"1",NA
"D","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"D","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"D","1","1","1","1","1","1","0","1","1",NA,"1","1","1","1","0","1","1","1","1","1"
"D","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"R","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0",NA,"0","0"
"R","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","1"
"R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"R","0","1","1","1","1","1","0","0","1","0","0","1","1","0","0","1","0","0","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"R","0","1","1","0","1","1","1","1","0","0","1","1","1","1","0","1","0","0","0","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"R","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"R","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","0","1","0","1","1","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"R","0","1",NA,"0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"R","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"R","0","1",NA,"0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"R","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1"
"D","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"I","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"R","0","1","1","0","0","1","0","0","0","0","0","1","1",NA,"0","1","0","0","0","1"
"D","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","0","0","1","1","1",NA,"1","1","1","0","1","1","1","1","1"
"D","1","1","1","1","1",NA,"0","1","1","1","1","1","1","1","1","1","0","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1"
"D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"R","0","1","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","1"
