"Temperature","Weight","Price","Material"
7,940,149,"Liteloft"
3,1880,139,"Hollow ber"
0,1280,249,"MTI Loft"
0,1750,179,"Hollow ber"
0,1900,239,"Thermolite"
-3,1490,299,"MTI Loft"
-3,1550,299,"Liteloft"
-7,1450,339,"Polarguard"
-7,2060,279,"Terraloft"
-7,1850,349,"MTI Loft"
-15,2100,399,"Ultraloft"
3,970,379,"Goose-downs"
3,800,349,"Goose-downs"
-3,1690,329,"Duck-downs"
-3,1200,369,"Goose-downs"
-3,1500,419,"Goose-downs"
-7,1380,349,"Goose-downs"
-7,1460,449,"Duck-downs"
-10,1820,549,"Duck-downs"
-10,1390,669,"Goose-downs"
-15,1800,549,"Goose-downs"
