dataset,method,verdict,detail,max_pct_diff
ABC,homals,PASS,max % diff = 0.002242% (evals),0.0022420555796571575
ABC,princals,PASS,max % diff = 8.77e-10% (lambda),8.769559287532947e-10
WilPat2,homals,PASS,max % diff = 0.02116% (evals),0.021161673290993444
WilPat2,princals,PASS,max % diff = 2.2e-09% (lambda),2.1995015060588678e-09
galo,homals,PASS,max % diff = 0.0006329% (evals),0.0006329078736226493
galo,princals,PASS,max % diff = 0.1367% (lambda),0.13669749091826502
goldstein,morals,PASS,max % diff = 3.148e-09% (xhat),3.1478123410723327e-09
gubell,homals,PASS,max % diff = 0.0001129% (evals),0.00011291467516216559
gubell,princals,PASS,max % diff = 1.344e-09% (evals),1.3442457255469962e-09
hartigan,homals,PASS,max % diff = 0.02687% (evals),0.026870699586959472
hartigan,princals,PASS,max % diff = 1.228e-09% (evals),1.2284664202181689e-09
house,homals,PASS,max % diff = 8.087e-10% (f),8.087473604550303e-10
house,princals,FAIL,max % diff = 10.44% (evals),10.438469222282517
mammals,homals,PASS,max % diff = 0.0001123% (evals),0.00011229757897036744
mammals,princals,PASS,max % diff = 6.897e-10% (evals),6.896986069329406e-10
neumann,homals,WARN,max % diff = 1.445% (f),1.4451984429122136
neumann,morals,PASS,max % diff = 2.029e-09% (xhat),2.0294766782434547e-09
neumann,princals,PASS,max % diff = 2.528e-09% (evals),2.527951862090925e-09
rosenbrock,morals,PASS,max % diff = 1.09e-09% (f),1.0902943775086294e-09
roskam,homals,PASS,max % diff = 3.644e-14% (evals),3.643808900399537e-14
roskam,princals,PASS,max % diff = 5.57e-10% (lambda),5.570472766751074e-10
senate07,homals,PASS,max % diff = 7.331e-10% (f),7.330693920770302e-10
senate07,princals,PASS,max % diff = 8.785e-10% (lambda),8.784972642860076e-10
sleeping,homals,PASS,max % diff = 0.009324% (evals),0.009324142626873153
sleeping,princals,PASS,max % diff = 2.067e-09% (evals),2.0665798156541136e-09
small,homals,PASS,max % diff = 2.146e-09% (evals),2.145786604657115e-09
small,princals,PASS,max % diff = 1.866e-09% (evals),1.866200617809622e-09
